Event Type,Date,Name,More Info:,Description,Time,Location
Performance,"July 25, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-25-26/?_gl=1*2hbbnk*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg5MjYkajUxJGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.",5–9 pm,The Met Fifth Avenue
Special Event,"July 26, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-26/?_gl=1*4nwa7*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDg5ODUkajYwJGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  ","9–10 am

",The Met Fifth Avenue
Performance,"July 26, 2025",Date Night at The Met,https://engage.metmuseum.org/events/marketing/date-night-at-the-met/fy26/july/date-night-july-25-26/?_gl=1*1iwsszd*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkwODEkajYwJGwwJGgw,"Every Friday and Saturday night, it’s Date Night at The Met! Bring a friend, a partner, or enjoy a solo evening of live music, drink specials, unique programming, and 5,000 years of art.

Enjoy drink specials and light fare in the American Wing Cafe, The Great Hall Balcony Cafe, and the Petrie Court Cafe. Met Members at the Dual level and above are welcome to enjoy a small bites menu in the Balcony Lounge.
",5–9 pm,"The Met Fifth Avenue
"
Special Event,"July 27, 2025",Weekend Member Mornings,https://engage.metmuseum.org/events/membership/weekend-member-mornings/weekend-member-mornings-july-27/?_gl=1*fo2u4x*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkxMTIkajI5JGwwJGgw,"On View, Just for You

Start your weekend at The Met! Every Saturday and Sunday, Members are invited to experience select exhibitions before public hours.  

Entry for Weekend Member Mornings
Please enter at the 81st Street and Fifth Avenue entrance. Once inside, present your Membership card and proceed directly to the Museum galleries.

See the Exhibitions on View Just for You

Sargent and Paris
Superfine: Tailoring Black Style
Lorna Simpson: Source Notes
Iba Ndiaye: Between Latitude and Longitude
The Roof Garden Commission: Jennie C. Jones, Ensemble",9–10 am,The Met Fifth Avenue
Gallery Talk,"July 28, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*hjzliv*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkxNzIkajYwJGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 28, 2025",Intern Insights at The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/intern-insights-at-the-met-cloisters/fy25/intern-insights-at-the-met-cloisters/?_gl=1*1ejb9ew*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkyNDEkajYwJGwwJGgw,"Join current Met Cloisters undergraduate interns for thematic, interactive conversations about works of art at The Met Cloisters.","3–4 pm
","The Met Cloisters

Meet in the Main Hall"
Gallery Talk,"July 29, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*uysc8f*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkyOTEkajEwJGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 29, 2025",Intern Insights at The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/intern-insights-at-the-met-cloisters/fy25/intern-insights-at-the-met-cloisters/?_gl=1*w8pu4q*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDkzNzckajU2JGwwJGgw,"Join current Met Cloisters undergraduate interns for thematic, interactive conversations about works of art at The Met Cloisters.",3–4 pm,"The Met Cloisters

Meet in the Main Hall

"
Lecture,"July 29, 2025",Met Expert Talks—Sargent and Paris,https://engage.metmuseum.org/events/education/talks/public-programs/met-expert-talks/fy26/met-expert-talks-sargent-and-paris/?_gl=1*1bpa1bq*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDk0NDMkajYwJGwwJGgw,"Patrick Herron, Senior Exhibition Designer, Design Department, The Met

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.

Presented in conjunction with the exhibition Sargent and Paris. 

","3–3:30 pm

","The Met Fifth Avenue

Art Study Room, Ruth and Harold D. Uris Center for Education

"
Gallery Talk,"July 31, 2025",Intern Insights,https://engage.metmuseum.org/events/education/talks/academic-and-research-programs/college-and-university-programs/intern-insights/fy25/intern-insights/?_gl=1*auzopb*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDk0NzkkajI0JGwwJGgw,"Join current Met undergraduate and graduate interns for thematic, interactive conversations about works of art in The Met collection.

",11–11:45 am and 2–2:45 pm,"The Met Fifth Avenue

Meet in Gallery 534, Vélez Blanco Patio"
Gallery Talk,"July 31, 2025",Intern Insights at The Met Cloisters,https://engage.metmuseum.org/events/education/talks/cloisters/intern-insights-at-the-met-cloisters/fy25/intern-insights-at-the-met-cloisters/?_gl=1*195aepq*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDk1NTQkajQ1JGwwJGgw,"Join current Met Cloisters undergraduate interns for thematic, interactive conversations about works of art at The Met Cloisters.","3–4 pm
","The Met Cloisters

Meet in the Main Hall"
Lecture,"July 31, 2025","Met Expert Talks—The Three Perfections: Japanese Poetry, Calligraphy, and Painting from the Mary and Cheney Cowles Collection",https://engage.metmuseum.org/events/education/talks/public-programs/met-expert-talks/fy26/met-expert-talks-the-three-perfections/?_gl=1*195aepq*_gcl_au*MTQxMDkxNzMyMy4xNzUwMzQxMTI3*_ga*NDc5NDQ2NDc1LjE3NTAzNDExMjg.*_ga_Y0W8DGNBTB*czE3NTE0NDI5MzMkbzYkZzEkdDE3NTE0NDk1NTQkajQ1JGwwJGgw,"Marco Leona, David H. Koch Scientist in Charge, Department of Scientific Research, The Met 

Join Museum experts, including curators, conservators, scientists, and scholars, for a deep dive into a selection of exhibition objects in the galleries. Hear new insights and untold stories from Met insiders and take a closer look at the works of art. You’ll also have the opportunity to ask questions.

Presented in conjunction with the exhibition The Three Perfections: Japanese Poetry, Calligraphy, and Painting from the Mary and Cheney Cowles Collection.",3–3:30 pm,"The Met Fifth Avenue

Gallery 223
"
